port_a,port_b,lag,corr,pval,pval_corrected
Busan,Nagoya,14,0.0139,0.4794,0.8575682582380633
Busan,Ningbo,1,0.0012,0.9505,0.9908012350443843
Busan,Ningbo,2,-0.0106,0.5888,0.9003782696177063
Busan,Ningbo,3,-0.0047,0.8092,0.9659277864992151
Busan,Ningbo,4,0.0011,0.9541,0.9908012350443843
Busan,Ningbo,5,-0.0521,0.0081,0.1539
Busan,Ningbo,6,-0.0226,0.2514,0.7175150214592275
Busan,Ningbo,7,0.007,0.7238,0.9387171643602816
Busan,Ningbo,8,0.0128,0.5143,0.8794913294797689
Busan,Ningbo,9,0.0069,0.7261,0.9387171643602816
Busan,Ningbo,10,0.0246,0.2115,0.6813333333333333
Busan,Ningbo,11,-0.0109,0.5801,0.8983482298316889
Busan,Ningbo,12,0.0127,0.5185,0.8804990427568604
Busan,Ningbo,13,-0.0346,0.079,0.48579199999999995
Busan,Ningbo,14,-0.0228,0.2471,0.7139543973941368
Busan,Port Klang,1,0.0088,0.6555,0.9186670179135933
Busan,Port Klang,2,0.0028,0.8877,0.980906036092097
Busan,Port Klang,3,0.0087,0.6577,0.9189852941176472
Busan,Port Klang,4,0.0266,0.1764,0.6498947368421053
Busan,Port Klang,5,0.0031,0.8751,0.9784640605296342
